step,epoch,loss,val_loss,learning_rate,gpu_vram,gpu_util,elapsed_seconds
104,0.73,0.5114,None,0.0001747754361712911,8.20GB / 11.83GB,69.3%,3345.76
106,0.74,0.579,None,0.00017378332790417273,8.20GB / 11.83GB,69.3%,3388.03
108,0.76,0.5772,None,0.00017277501727563224,8.20GB / 11.83GB,69.3%,3428.31
110,0.77,0.498,None,0.00017175072570443312,8.20GB / 11.83GB,69.3%,3471.61
110,0.77,None,0.5141786336898804,0.0,8.20GB / 11.83GB,69.3%,3578.12
112,0.79,0.549,None,0.00017071067811865476,8.20GB / 11.83GB,69.3%,3624.3
114,0.8,0.6218,None,0.00016965510290629972,8.20GB / 11.83GB,69.3%,3666.75
116,0.81,0.596,None,0.00016858423186514107,8.20GB / 11.83GB,69.3%,3708.9
118,0.83,0.5203,None,0.00016749830015182107,8.20GB / 11.83GB,69.3%,3750.58
120,0.84,0.4399,None,0.00016639754623021225,8.20GB / 11.83GB,69.3%,3792.88
120,0.84,None,0.5125745534896851,0.0,8.20GB / 11.83GB,69.3%,3900.38
122,0.86,0.4481,None,0.00016528221181905217,8.20GB / 11.83GB,69.3%,3946.3
124,0.87,0.4782,None,0.00016415254183886355,8.20GB / 11.83GB,69.3%,3989.1
126,0.88,0.4676,None,0.00016300878435817113,8.20GB / 11.83GB,69.3%,4032.14
128,0.9,0.5518,None,0.00016185119053902747,8.20GB / 11.83GB,69.3%,4075.36
130,0.91,0.4421,None,0.00016068001458185936,8.20GB / 11.83GB,69.3%,4117.52
130,0.91,None,0.5077594518661499,0.0,8.20GB / 11.83GB,69.3%,4225.14
132,0.93,0.4953,None,0.00015949551366964675,8.20GB / 11.83GB,69.3%,4270.45
134,0.94,0.5507,None,0.0001582979479114472,8.20GB / 11.83GB,69.3%,4312.54
136,0.95,0.5633,None,0.00015708758028527752,8.20GB / 11.83GB,69.3%,4354.72
138,0.97,0.5059,None,0.00015586467658036524,8.20GB / 11.83GB,69.3%,4397.78
140,0.98,0.5331,None,0.00015462950533878317,8.20GB / 11.83GB,69.3%,4440.59
140,0.98,None,0.5045287013053894,0.0,8.20GB / 11.83GB,69.3%,4547.97
142,1.0,0.5486,None,0.0001533823377964791,8.20GB / 11.83GB,69.3%,4594.08
144,1.01,0.5089,None,0.000152123447823714,8.20GB / 11.83GB,69.3%,4628.87
146,1.02,0.4267,None,0.00015085311186492206,8.20GB / 11.83GB,69.3%,4670.64
148,1.04,0.4536,None,0.00014957160887800494,8.20GB / 11.83GB,69.3%,4712.97
150,1.05,0.4298,None,0.00014827922027307451,8.20GB / 11.83GB,69.3%,4755.94
150,1.05,None,0.5050878524780273,0.0,8.20GB / 11.83GB,69.3%,4863.02
152,1.06,0.4991,None,0.0001469762298506568,8.20GB / 11.83GB,69.3%,4910.94
154,1.08,0.4378,None,0.0001456629237393713,8.20GB / 11.83GB,69.3%,4953.89
156,1.09,0.4724,None,0.00014433959033309887,8.20GB / 11.83GB,69.3%,4996.32
158,1.11,0.4397,None,0.00014300652022765207,8.20GB / 11.83GB,69.3%,5038.75
160,1.12,0.4402,None,0.00014166400615696231,8.20GB / 11.83GB,69.3%,5081.68
160,1.12,None,0.5034525990486145,0.0,8.20GB / 11.83GB,69.3%,5189.15
162,1.13,0.4886,None,0.00014031234292879725,8.20GB / 11.83GB,69.3%,5233.72
164,1.15,0.4663,None,0.00013895182736002276,8.20GB / 11.83GB,69.3%,5276.37
166,1.16,0.4813,None,0.00013758275821142382,8.20GB / 11.83GB,69.3%,5318.98
168,1.18,0.4907,None,0.00013620543612209861,8.20GB / 11.83GB,69.3%,5360.91
170,1.19,0.4284,None,0.0001348201635434399,8.20GB / 11.83GB,69.3%,5403.34
170,1.19,None,0.5047303438186646,0.0,8.20GB / 11.83GB,69.3%,5510.43
172,1.2,0.4158,None,0.0001334272446727185,8.20GB / 11.83GB,69.3%,5556.69
174,1.22,0.3899,None,0.00013202698538628376,8.20GB / 11.83GB,69.3%,5599.22
176,1.23,0.4093,None,0.00013061969317239468,8.20GB / 11.83GB,69.3%,5642.28
178,1.25,0.4588,None,0.00012920567706369758,8.20GB / 11.83GB,69.3%,5684.57
180,1.26,0.4539,None,0.0001277852475693644,8.20GB / 11.83GB,69.3%,5727.69
180,1.26,None,0.5026977062225342,0.0,8.20GB / 11.83GB,69.3%,5835.22
182,1.27,0.47,None,0.00012635871660690676,8.20GB / 11.83GB,69.3%,5881.09
184,1.29,0.4911,None,0.00012492639743368097,8.20GB / 11.83GB,69.3%,5923.81
186,1.3,0.4099,None,0.00012348860457809838,8.20GB / 11.83GB,69.3%,5966.7
188,1.32,0.4643,None,0.00012204565377055718,8.20GB / 11.83GB,69.3%,6009.59
190,1.33,0.4218,None,0.00012059786187410984,8.20GB / 11.83GB,69.3%,6052.74
190,1.33,None,0.4997134804725647,0.0,8.20GB / 11.83GB,69.3%,6160.22
192,1.34,0.4174,None,0.00011914554681488188,8.20GB / 11.83GB,69.3%,6204.22
194,1.36,0.5062,None,0.0001176890275122573,8.20GB / 11.83GB,69.3%,6247.8
196,1.37,0.4387,None,0.00011622862380884601,8.20GB / 11.83GB,69.3%,6290.57
198,1.39,0.4469,None,0.00011476465640024814,8.20GB / 11.83GB,69.3%,6333.61
200,1.4,0.5718,None,0.00011329744676463143,8.20GB / 11.83GB,69.3%,6375.68
200,1.4,None,0.5007421970367432,0.0,8.20GB / 11.83GB,69.3%,6483.12
202,1.41,0.5302,None,0.00011182731709213659,8.20GB / 11.83GB,69.3%,6528.38
204,1.43,0.4154,None,0.0001103545902141263,8.20GB / 11.83GB,69.3%,6572.12
206,1.44,0.4317,None,0.00010887958953229349,8.20GB / 11.83GB,69.3%,6615.11
208,1.46,0.4898,None,0.00010740263894764429,8.20GB / 11.83GB,69.3%,6658.36
210,1.47,0.5147,None,0.00010592406278937144,8.20GB / 11.83GB,69.3%,6701.48
